Author_ID,First_Name,Last_Name,Email,Address,Mobile,NIC
,,,,,,,
1,Jane,Austen,jane.austen@gmail.com,123 Cherry Lane,1234567890,NIC223456
2,Charles,Dickens,charles.dickens@gmail.com,456 Oak Street,2345678901,NIC223457
3,Leo,Tolstoy,leo.tolstoy@gmail.com,789 Maple Avenue,3456789012,NIC223458
4,Mark,Twain,mark.twain@gmail.com,101 Pine Road,4567890123,NIC223459
5,Virginia,Woolf,virginia.woolf@gmail.com,202 Birch Blvd,5678901234,NIC223460
6,Ernest,Hemingway,ernest.hemingway@gmail.com,303 Cedar Street,6789012345,NIC223461
7,George,Orwell,george.orwell@gmail.com,404 Spruce Lane,7890123456,NIC223462
8,J.K.,Rowling,jk.rowling@gmail.com,505 Elm Road,8901234567,NIC223463
9,Harper,Lee,harper.lee@gmail.com,606 Aspen Avenue,9012345678,NIC223464
10,Gabriel,Garcia Marquez,gabriel.marquez@gmail.com,707 Chestnut Court,1234567890,NIC223465
11,F. Scott,Fitzgerald,f.scott.fitzgerald@gmail.com,808 Maple Terrace,1234567891,NIC223466
12,Agatha,Christie,agatha.christie@gmail.com,909 Oak Lane,2345678902,NIC223467
13,Toni,Morrison,toni.morrison@gmail.com,111 Birch Place,3456789013,NIC223468
14,J.R.R.,Tolkien,jrr.tolkien@gmail.com,222 Cedar Court,4567890124,NIC223469
15,Stephen,King,stephen.king@gmail.com,333 Elm Street,5678901235,NIC223470
16,Maya,Angelou,maya.angelou@gmail.com,444 Spruce Avenue,6789012346,NIC223471
17,Herman,Melville,herman.melville@gmail.com,555 Aspen Street,7890123457,NIC223472
18,John,Steinbeck,john.steinbeck@gmail.com,666 Chestnut Lane,8901234568,NIC223473
19,Emily,Dickinson,emily.dickinson@gmail.com,777 Maple Court,9012345679,NIC223474
20,Arthur Conan,Doyle,arthur.conan.doyle@gmail.com,888 Oak Place,1234566780,NIC223475
21,Franz,Kafka,franz.kafka@gmail.com,Willow Street Los Angeles USA,+1-818-555-6789,M987654321
22,Charlotte,Bronte,charlotte.bronte@gmail.com,Rosewood Avenue Vancouver Canada,+1-604-555-1234,P876543210
23,Rudyard,Kipling,rudyard.kipling@gmail.com,Cherry Blossom Lane Tokyo Japan,+81-3-1234-5678,J23456789X
